lemma,original_form,reason,url
сентябрь,сентября,mid_sentence_cap,https://cogres.hse.ru
обсуждение,обсуждение,mid_sentence_cap,https://cogres.hse.ru
нул,НУЛ,abbreviation_allcaps,https://cogres.hse.ru
александрович,Александровны,pymorphy3:Patr,https://cogres.hse.ru
рассказовый,Рассказовой,pymorphy3:Surn,https://cogres.hse.ru
фсн,ФСН,abbreviation_allcaps,https://cogres.hse.ru
приглашать,Приглашаем,mid_sentence_cap,https://cogres.hse.ru
над,над,mid_sentence_cap,https://cogres.hse.ru
приниматься,принимаются,mid_sentence_cap,https://cogres.hse.ru
март,марта,pymorphy3:Name,https://cogres.hse.ru
май,мая,pymorphy3:Geox,https://cogres.hse.ru
сотрудница,Сотрудница,mid_sentence_cap,https://cogres.hse.ru
магнитная,Магнитной,pymorphy3:Geox,https://cogres.hse.ru
сингапур,Сингапур,pymorphy3:Geox,https://cogres.hse.ru
февраль,февраля,mid_sentence_cap,https://cogres.hse.ru
как,Как,mid_sentence_cap,https://cogres.hse.ru
у,у,mid_sentence_cap,https://cogres.hse.ru
алексей,Алексея,pymorphy3:Name,https://cogres.hse.ru
котов,Котова,pymorphy3:Surn,https://cogres.hse.ru
матвей,Матвея,pymorphy3:Name,https://cogres.hse.ru
афонин,Афонина,pymorphy3:Surn,https://cogres.hse.ru
домодедово,Домодедово,pymorphy3:Geox,https://cogres.hse.ru
фмрт,фМРТ,pymorphy3:Abbr,https://cogres.hse.ru
летний,летней,mid_sentence_cap,https://cogres.hse.ru
карла,Карла,pymorphy3:Name,https://cogres.hse.ru
дункер,Дункера,mid_sentence_cap,https://cogres.hse.ru
теоретический,Теоретические,mid_sentence_cap,https://cogres.hse.ru
прикладной,прикладные,mid_sentence_cap,https://cogres.hse.ru
август,августа,pymorphy3:Name,https://cogres.hse.ru
июль,июля,mid_sentence_cap,https://cogres.hse.ru
воронов,Вороново,mid_sentence_cap,https://cogres.hse.ru
седьмой,Седьмой,mid_sentence_cap,https://cogres.hse.ru
июнь,июня,mid_sentence_cap,https://cogres.hse.ru
пройти,прошла,mid_sentence_cap,https://cogres.hse.ru
люсин,Люсин,mid_sentence_cap,https://cogres.hse.ru
так,Т,pymorphy3:Abbr,https://cogres.hse.ru
сысоев,Сысоева,pymorphy3:Surn,https://cogres.hse.ru
сучковый,Сучкова,mid_sentence_cap,https://cogres.hse.ru
н,Н,pymorphy3:Abbr,https://cogres.hse.ru
мартынов,Мартынова,pymorphy3:Surn,https://cogres.hse.ru
